id,value
bubble.5.ALBANY PARK,28469828
bubble.6.ARCHER HEIGHTS,43242813
bubble.8.ARMOUR SQUARE,4714449
bubble.3.ASHBURN,97194866
bubble.7.AUBURN GRESHAM,64746674
bubble.7.AUSTIN,77842150
bubble.4.AVALON PARK,23761371
bubble.4.AVONDALE,17956938
bubble.7.BELMONT CRAGIN,74460493
bubble.1.BEVERLY,62316655
bubble.4.BRIDGEPORT,24071394
bubble.8.BRIGHTON PARK,23136940
bubble.7.BURNSIDE,4821905
bubble.3.CALUMET HEIGHTS,36375878
bubble.6.CHATHAM,38989307
bubble.0.CHICAGO LAWN,58538296
bubble.8.CLEARING,48673321
bubble.2.DOUGLAS,3354078
bubble.4.DUNNING,87897715
bubble.2.EAST GARFIELD PARK,5539349
bubble.8.EAST SIDE,32058306
bubble.6.EDGEWATER,15699536
bubble.1.EDISON PARK,28150676
bubble.0.ENGLEWOOD,16494583
bubble.9.FOREST GLEN,56685469
bubble.1.FULLER PARK,1987024
bubble.9.GAGE PARK,37377443
bubble.9.GARFIELD RIDGE,85397134
bubble.3.GRAND BOULEVARD,5229939
bubble.5.GREATER GRAND CROSSING,24223136
bubble.6.HEGEWISCH,19695858
bubble.4.HERMOSA,18351570
bubble.7.HUMBOLDT PARK,27985502
bubble.8.HYDE PARK,10248598
bubble.1.IRVING PARK,46469265
bubble.3.JEFFERSON PARK,43954220
bubble.2.KENWOOD,8850790
bubble.2.LAKE VIEW,35230659
bubble.0.LINCOLN PARK,31299101
bubble.0.LINCOLN SQUARE,21738215
bubble.1.LOGAN SQUARE,32217829
bubble.2.LOOP,15288
bubble.0.LOWER WEST SIDE,9377889
bubble.7.MCKINLEY PARK,11170277
bubble.6.MONTCLARE,18891566
bubble.5.MORGAN PARK,56293735
bubble.3.MOUNT GREENWOOD,55264781
bubble.1.NEAR NORTH SIDE,11173638
bubble.0.NEAR SOUTH SIDE,6732951
bubble.0.NEAR WEST SIDE,15053946
bubble.1.NEW CITY,25144812
bubble.9.NORTH CENTER,31815555
bubble.8.NORTH LAWNDALE,9802747
bubble.0.NORTH PARK,22981174
bubble.3.NORWOOD PARK,92965031
bubble.2.OHARE,6454700
bubble.7.OAKLAND,1544524
bubble.2.PORTAGE PARK,91347338
bubble.3.PULLMAN,10585093
bubble.5.RIVERDALE,2083872
bubble.9.ROGERS PARK,11459512
bubble.0.ROSELAND,75693332
bubble.5.SOUTH CHICAGO,27600271
bubble.7.SOUTH DEERING,26187216
bubble.6.SOUTH LAWNDALE,30598149
bubble.9.SOUTH SHORE,24970292
bubble.5.UPTOWN,10039659
bubble.2.WASHINGTON HEIGHTS,58898249
bubble.4.WASHINGTON PARK,1170117
bubble.8.WEST ELSDON,25767811
bubble.6.WEST ENGLEWOOD,41151502
bubble.8.WEST GARFIELD PARK,5175412
bubble.9.WEST LAWN,52078472
bubble.5.WEST PULLMAN,54280550
bubble.6.WEST RIDGE,51864362
bubble.4.WEST TOWN,39629341
bubble.1.WOODLAWN,5388506
