Community,January,February,March,April,May,June,July,August,September,October,November,December,Total
ALBANY PARK,1520056,1702023,1703714,1646921,2141045,3350039,3874318,2841312,1933076,1935290,2815237,3006797,28469828
ARCHER HEIGHTS,2563748,2527124,2411892,2556100,3226767,4892737,6037846,4741099,3052046,2805395,3961093,4466966,43242813
ARMOUR SQUARE,297071,288503,275503,267304,326645,414579,690191,628899,417782,306051,354354,447567,4714449
ASHBURN,5644859,5538011,5399230,5545123,7721287,12192411,13567533,10005017,6683138,6156970,8891564,9849723,97194866
AUBURN GRESHAM,4166472,4242962,4095681,3941315,4750715,6912794,7370271,5957904,4462355,4641787,6712270,7492148,64746674
AUSTIN,4757364,5323254,5039442,4662352,5511764,7152602,8876473,8590142,6380337,5349730,7112598,9086092,77842150
AVALON PARK,1523025,1582411,1442175,1471036,1710162,2504861,2787512,2335998,1665283,1604752,2420097,2714059,23761371
AVONDALE,1027713,1058645,1094679,1033253,1364030,2109457,2412518,1861778,1277257,1201531,1622556,1893521,17956938
BELMONT CRAGIN,4321075,4808828,4632496,4215190,5260636,7980149,9412549,8348899,5487361,4746362,7064406,8182542,74460493
BEVERLY,3640743,3914520,3543763,3717074,5276520,8122411,7989421,5548465,4170314,3943808,6532355,5917261,62316655
BRIDGEPORT,1432518,1505713,1436611,1396070,1538408,2174275,3214064,3190274,2216819,1688117,1827677,2450848,24071394
BRIGHTON PARK,1467890,1489041,1356853,1320261,1499679,2130844,2953212,3064042,1989410,1551733,1928612,2385363,23136940
BURNSIDE,327518,307124,309703,298203,362046,489229,574098,409143,320751,369243,517420,537427,4821905
CALUMET HEIGHTS,2409369,2236650,2254978,2201986,2631495,4347715,4661996,3236269,2354292,2657890,3494284,3888954,36375878
CHATHAM,2602776,2595315,2410431,2254110,2938611,4369193,4712370,3441479,2562921,2792487,3932771,4376843,38989307
CHICAGO LAWN,3818555,3877230,3651115,3400398,4235006,6084527,6913320,6100553,4208690,3992896,5497254,6758752,58538296
CLEARING,2971028,2845375,2620741,2663097,3811635,5848845,7103045,5869274,3549871,2943445,3802247,4644718,48673321
DOUGLAS,205570,223271,232212,212802,221345,274823,405623,386517,290081,244529,280536,376769,3354078
DUNNING,4974358,4924720,4875524,4910954,7129643,11080824,12664230,9243593,5737818,5265624,7994275,9096152,87897715
EAST GARFIELD PARK,288485,356702,367543,353220,386055,455603,603608,596187,531927,404218,513719,682082,5539349
EAST SIDE,1824559,1865146,1717434,1809000,2853422,4207203,4532516,3067535,2097517,2108661,3026865,2948448,32058306
EDGEWATER,997214,979511,894805,972340,1311449,1929889,1892274,1438660,1046163,1037334,1652946,1546951,15699536
EDISON PARK,1459743,1534699,1599379,1830382,2562310,3783283,4041732,2574719,1651591,1923201,2550580,2639057,28150676
ENGLEWOOD,1053336,1108773,1092184,1015849,1128511,1478326,1706081,1575149,1187933,1282526,1744779,2121136,16494583
