key,name,date,value
5,Albany Park,1990,1520056
5,Albany Park,1991,1702023
5,Albany Park,1992,1703714
5,Albany Park,1993,1646921
5,Albany Park,1994,2141045
5,Albany Park,1995,3350039
5,Albany Park,1996,3874318
5,Albany Park,1997,2841312
5,Albany Park,1998,1933076
5,Albany Park,1999,1935290
5,Albany Park,2000,2815237
5,Albany Park,2001,3006797
6,Archer Heights,1990,2563748
6,Archer Heights,1991,2527124
6,Archer Heights,1992,2411892
6,Archer Heights,1993,2556100
6,Archer Heights,1994,3226767
6,Archer Heights,1995,4892737
6,Archer Heights,1996,6037846
6,Archer Heights,1997,4741099
6,Archer Heights,1998,3052046
6,Archer Heights,1999,2805395
6,Archer Heights,2000,3961093
6,Archer Heights,2001,4466966
8,Armour Square,1990,297071
8,Armour Square,1991,288503
8,Armour Square,1992,275503
8,Armour Square,1993,267304
8,Armour Square,1994,326645
8,Armour Square,1995,414579
8,Armour Square,1996,690191
8,Armour Square,1997,628899
8,Armour Square,1998,417782
8,Armour Square,1999,306051
8,Armour Square,2000,354354
8,Armour Square,2001,447567
3,Ashburn,1990,5644859
3,Ashburn,1991,5538011
3,Ashburn,1992,5399230
3,Ashburn,1993,5545123
3,Ashburn,1994,7721287
3,Ashburn,1995,12192411
3,Ashburn,1996,13567533
3,Ashburn,1997,10005017
3,Ashburn,1998,6683138
3,Ashburn,1999,6156970
3,Ashburn,2000,8891564
3,Ashburn,2001,9849723
7,Auburn Gresham,1990,4166472
7,Auburn Gresham,1991,4242962
7,Auburn Gresham,1992,4095681
7,Auburn Gresham,1993,3941315
7,Auburn Gresham,1994,4750715
7,Auburn Gresham,1995,6912794
7,Auburn Gresham,1996,7370271
7,Auburn Gresham,1997,5957904
7,Auburn Gresham,1998,4462355
7,Auburn Gresham,1999,4641787
7,Auburn Gresham,2000,6712270
7,Auburn Gresham,2001,7492148
7,Austin,1990,4757364
7,Austin,1991,5323254
7,Austin,1992,5039442
7,Austin,1993,4662352
7,Austin,1994,5511764
7,Austin,1995,7152602
7,Austin,1996,8876473
7,Austin,1997,8590142
7,Austin,1998,6380337
7,Austin,1999,5349730
7,Austin,2000,7112598
7,Austin,2001,9086092
4,Avalon Park,1990,1523025
4,Avalon Park,1991,1582411
4,Avalon Park,1992,1442175
4,Avalon Park,1993,1471036
4,Avalon Park,1994,1710162
4,Avalon Park,1995,2504861
4,Avalon Park,1996,2787512
4,Avalon Park,1997,2335998
4,Avalon Park,1998,1665283
4,Avalon Park,1999,1604752
4,Avalon Park,2000,2420097
4,Avalon Park,2001,2714059
4,Avondale,1990,1027713
4,Avondale,1991,1058645
4,Avondale,1992,1094679
4,Avondale,1993,1033253
4,Avondale,1994,1364030
4,Avondale,1995,2109457
4,Avondale,1996,2412518
4,Avondale,1997,1861778
4,Avondale,1998,1277257
4,Avondale,1999,1201531
4,Avondale,2000,1622556
4,Avondale,2001,1893521
